name,short_name,id,dataset_id
Electric Formula,ElectricK V2,2bb2529e-3224-45f3-92b6-323fae73b24f,e48d337d56880f8e96a86e2129db0772--electric-formula
Eriez Speedway,Eriez,825683cd-6b57-430e-8861-2bca9bdc67c5,5361adb35feb41ca0ae87ad062d37fc5--eriez-speedway
Karting Royan,RoyanK,94484f5c-2d9f-4d44-a18b-a040ebd668b5,451c216ec370bc8f4283cf71188abea8--karting-royan
Spring Mountain Motorsports,SMM South,adb70557-7750-4514-a353-684a4cb8b85d,620a23abe101712ac1419a56361d1846--spring-mountain-motorsports
South Sask Kart Club,SouthSask,d20d0ccb-99f9-479f-a39e-b6a2483bce12,5bcb70f9fa6c368f2365cb3fd8c7fae1--south-sask-kart-club
Tor Gokartowy Szczecin,Szczecin 15,de60e6d4-8699-413b-a407-d69f89cb6c92,5afa780aaadfd8e6c8e8d6ba21440fc6--tor-gokartowy-szczecin
Ellough Park Raceway,EPR V1,7f81f785-cbf1-45a8-b2e1-757672720ecc,9e1f1b11c3f48507ea52edcc98de7bb9--ellough-park-raceway
Hill Climb Limanowa GSMP,Limanowa,fbc4f681-5952-4e3b-826a-d5150e76b5ab,d138be0184128356432e3d7db5ce29aa--hill-climb-limanowa-gsmp
Maverick Karts,Maverick,eeabafe2-e290-417f-9e11-1cb9be9f1461,958e6cfee4886a493b1795d652e0b9c7--maverick-karts
Cochran Speedway,Cochran,95e95bdd-d183-46cb-b2ac-09bfa78517ba,3e2f4cc503a0e9c3a037adacddd69d88--cochran-speedway
Pahrump Valley Speedway,PahrumpVS,275495e0-61af-4a57-9fc0-6e7ebebb8fe6,3b439c6bafb22c55a0f5a58c23dafdb8--pahrump-valley-speedway
Ridge Motorsports Park,Ridge GP,a2b9a9c8-d769-4ccf-8ccd-074c4c42dd72,7de6a5e8454ded4683b199d8d2705ea8--ridge-motorsports-park
Sherman County Speedway,Sherman,62ce07e6-02fd-4e4a-bc13-f4146a26bb84,2750c34a5013251484a4401097aa6067--sherman-county-speedway
Evergreen Raceway Park,EvergreenRP,bb1b27ed-7087-4c5d-a8da-cfe2370596a8,9fd05d1a7d5515c24f1712de6ad884fd--evergreen-raceway-park
Karting Investimentos de Braga,KIB,f4c50a49-6dd3-4eea-8f10-18bfd71ab1c1,22f88d38d9a8053569354f457029ac65--karting-investimentos-de-braga
Chippewa County Fair,ChippewaOval,ef110646-7fa2-4250-8a6a-4add72c7c946,b8d7918419dd82020751102ad10523bc--chippewa-county-fair
Laval Loisirs Karting – Circuit Beausoleil,Beausoleil,07eae5e0-1c17-47f2-8df7-b93cc7948ba7,23e75524829f8dca26a13db9eef3c1a2--laval-loisirs-karting-circuit-beausoleil
USA Raceway,TucsonUSA,2ae3b453-ce9f-4393-a1c8-5d1081157128,e165f3f79a01a88723c8afdf9839f548--usa-raceway
Speedworld Raceway,Speedworld,22907873-1993-491e-8a45-f50b73e9560e,f96ff17ed0808818787a83ae48ddcdf8--speedworld-raceway
Talladega Short Track,TST Mini,c04a0a86-4be5-4c9f-b48e-f325d1784f2a,3be099c3b296e8d01e25e576f44c3a20--talladega-short-track
Kartódromo de Londrina,Lond - Chica,d47e9063-1f4f-46b9-8c20-d40bc4ee8e1b,f0463dbcd8ac1d758600fe25da0a6988--kart-dromo-de-londrina
TS-Takata Circuit,Takata V1,ea4e960b-117c-4775-88f9-61f89f7e31f8,c4bcbe92cdbee75c5c7f0428908381a1--ts-takata-circuit
Buckmore Park Kart Circuit,Buckmore V1,3d98927c-c85e-40c8-82e4-3024b7ccdd9d,88a09ffb9a8598093374a7042d6d2309--buckmore-park-kart-circuit
West Coast Kart Club,WCKC,81bdde72-6fb7-4d20-b51b-9a34e45b3d13,da6cb6edab17c28d4b9018af921df90b--west-coast-kart-club
Sirkuit Gokart Boyolali,Boyolali,84f96ac7-1b46-4512-bd29-6927d51abe17,1583d77971785eddf1f3919274e8903a--sirkuit-gokart-boyolali
Benton Raceway Park,Benton,7d096214-2ccf-4608-a355-23b184926293,704a895e1a5a11071050bc9f2068c121--benton-raceway-park
